Site_ID,site_name,Longitude,Latitude,Elev
ADM,ADIN MOUNTAIN,-120.792,41.237,6200
AGP,AGNEW PASS,-119.143,37.7244,9450
ALP,ALPHA (SMUD),-120.21565,38.80419,7600
BCB,BLACKCAP BASIN,-118.77,37.067,10300
BCH,BEACH MEADOWS,-118.29346,36.12609,7650
BFL,BIG FLAT,-122.942,41.08,5100
BGP,BIG PINE CREEK,-118.47816,37.12786,9800
BIM,BIG MEADOWS (DWR),-118.84343,36.71537,7600
BKL,BUCKS LAKE,-121.242,39.85,5750
BLA,BLACKS MOUNTAIN,-121.19972,40.76984,7050
BLC,BLUE CANYON,-120.70871,39.28011,5280
BLD,BLOODS CREEK,-120.033,38.45,7200
BLK,BLUE LAKES,-119.931,38.613,8000
BLS,BLACK SPRINGS,-120.192,38.375,6500
BMW,BIG MEADOWS (SCS),-119.946,39.458,8700
BNK,BONANZA KING,-122.628,41.083,6450
BSH,BISHOP PASS,-118.557,37.1,11200
BSK,BURNSIDE LAKE,-119.8942,38.7194,8129
CAP,CAPLES LAKE,-120.042,38.71,8000
CBT,CRABTREE MEADOW,-118.34795,36.56368,10700
CDP,CEDAR PASS,-120.303,41.583,7100
CHM,CHILKOOT MEADOW,-119.49,37.41,7150
CHP,CHAGOOPA PLATEAU,-118.44672,36.49714,10300
CRL,CHARLOTTE LAKE,-118.42661,36.77773,10400
CSL,CENT SIERRA SNOW LAB,-120.367,39.325,6900
CSV,CASA VIEJA MEADOWS,-118.27163,36.19844,8300
CWD,COTTONWOOD LAKES,-118.17755,36.48383,10150
CWF,CROWDER FLAT,-120.7519,41.8934,5100
CXS,CARSON PASS,-120.0021,38.6924,8353
DAN,DANA MEADOWS,-119.257,37.897,9800
DDM,DEADMAN CREEK,-119.65411,38.3316,9250
DPO,DEVIL'S POSTPILE,-119.0847,37.6294,7569
DSS,DISMAL SWAMP,-120.165,41.993,7050
EBB,EBBETTS PASS,-119.808,38.561,8700
EP5,ECHO PEAK 5,-120.079,38.849,7800
FDC,FORESTDALE CREEK,-119.9597,38.6824,8017
FLL,FALLEN LEAF LAKE,-120.056,38.932,6250
FOR,FOUR TREES,-121.32254,39.81237,5150
FRN,FORNI RIDGE,-120.213,38.805,7600
FRW,FAREWELL GAP,-118.5789,36.41509,9500
GEM,GEM PASS,-119.17,37.78,10750
GIN,GIN FLAT,-119.773,37.767,7050
GKS,GREEK STORE,-120.558,39.075,5600
GNF,GIANT FOREST (USACE),-118.765,36.562,6650
GNL,GIANELLI MEADOW,-119.89319,38.20431,8400
GOL,GOLD LAKE,-120.61718,39.67478,6750
GRM,GREEN MOUNTAIN,-119.238,37.555,7900
GRV,GRAVEYARD MEADOW,-119.29,37.465,6900
GRZ,GRIZZLY RIDGE,-120.645,39.917,6900
HGM,HAGANS MEADOW,-119.94,38.853,8000
HHM,HIGHLAND MEADOW,-119.80575,38.48731,8700
HIG,HIGHLAND LAKES,-122.483,41.093,6030
HMB,HUMBUG,-121.368,40.115,6500
HNT,HUNTINGTON LAKE (USBR),-119.221,37.228,7000
HOR,HORSE MEADOW (NRCS),-119.8873,38.8365,8557
HRK,HARKNESS FLAT,-121.275,40.418,6200
HRS,HORSE MEADOW,-119.662,38.158,8400
HUL,HULL MTN,-122.94833,39.53333,6461
HVN,HEAVENLY VALLEY,-119.917,38.929,8800
HYS,HUYSINK,-120.527,39.282,6600
IDC,INDEPENDENCE CAMP,-120.29855,39.45259,7000
IDP,INDEPENDENCE LAKE (SCS),-120.322,39.435,8450
INN,INDEPENDENCE CREEK,-120.293,39.494,6500
KIB,LOWER KIBBIE RIDGE,-119.877,38.032,6700
KSP,KAISER POINT,-119.1,37.3,9200
KTL,KETTLE ROCK,-120.715,40.14,7300
LBD,LOBDELL LAKE,-119.377,38.44,9200
LLP,LOWER LASSEN PEAK,-121.50811,40.4666,8250
LOS,LAKE LOIS,-120.197,38.925,8600
LVM,LEAVITT MEADOWS,-119.552,38.305,7200
LVT,LEAVITT LAKE,-119.621,38.282,9600
MB3,MIDDLE BOULDER 3,-122.811,41.225,6200
MDW,MEADOW LAKE,-120.50626,39.40607,7200
MED,MEDICINE LAKE,-121.6131,41.5869,6700
MHP,MAMMOTH PASS (USBR),-119.033,37.61,9300
MNT,MONITOR PASS,-119.615,38.67,8350
MRL,MARLETTE LAKE,-119.905,39.173,8000
MSK,MOUNT ROSE SKI AREA,-119.902,39.326,8900
MTM,MITCHELL MEADOW,-118.712,36.737,9900
MUM,MUMBO BASIN,-122.523,41.197,5650
NLS,NOEL SPRING,-122.667,39.538,5100
PDS,PARADISE MEADOW,-119.67,38.047,7650
PET,PETERSON FLAT,-122.5277,41.3023,7150
PLP,PILOT PEAK (DWR),-120.87778,39.78589,6800
PSC,PASCOES,-118.35,35.967,9150
PSN,POISON FLAT,-119.631,38.501,7900
PSR,POISON RIDGE,-119.52,37.403,6900
QUA,QUAKING ASPEN,-118.53994,36.11754,7200
RBB,ROBBS SADDLE,-120.3793,38.91153,5900
RBP,ROBBS POWERHOUSE,-120.37654,38.90238,5150
RCC,ROBINSON COW CAMP,-120.68,39.6219,6480
RCK,ROCK CREEK LAKES,-118.73507,37.4573,9700
REL,LOWER RELIEF VALLEY,-119.76292,38.24292,8100
RP2,RUBICON PEAK 2,-120.14,39.001,7500
RRM,RED ROCK MOUNTAIN,-122.885,41.023,6700
RTL,RATTLESNAKE,-121.043,40.125,6100
SCN,SCHNEIDERS,-120.068,38.747,8750
SCT,SCOTT MOUNTAIN,-122.718,41.272,5900
SDF,SAND FLAT,-122.2464,41.3504,6750
SDW,SUMMIT MEADOW,-119.5356,38.3975,9313
SHM,SHIMMY LAKE,-122.8,41.008,6400
SIL,SILVER LAKE,-120.118,38.678,7100
SLI,SLIDE CANYON,-119.43,38.092,9200
SLK,SOUTH LAKE,-118.56266,37.1759,9600
SLM,STANISLAUS MEADOW,-119.9373,38.5055,7750
SLT,SLATE CREEK,-122.478,41.045,5700
SNM,SNOW MOUNTAIN,-121.782,40.778,5950
SPS,SONORA PASS BRIDGE,-119.601,38.318,8750
SPT,SPRATT CREEK,-119.81742,38.66627,6150
SQV,SQUAW VALLEY GOLD COAST,-120.276,39.194,8200
STL,STATE LAKES,-118.574,36.927,10300
STM,STOUTS MEADOW,-121.938,41.17,5400
STR,OSTRANDER LAKE,-119.55,37.637,8200
SWM,SAWMILL,-118.56252,37.16193,10200
TCC,TAHOE CITY CROSS,-120.15466,39.17144,6750
TES,TIOGA PASS ENTRY STATION,-119.25845,37.91085,9945
TK2,TRUCKEE 2,-120.194,39.3,6400
TMR,TAMARACK SUMMIT,-119.2,37.165,7550
TNY,TENAYA LAKE,-119.448,37.838,8150
TUM,TUOLUMNE MEADOWS,-119.35,37.873,8600
TUN,TUNNEL GUARD STATION,-118.288,36.367,8900
UBC,UPPER BURNT CORRAL,-118.93777,37.18356,9700
UTY,UPPER TYNDALL CREEK,-118.397,36.65,11400
VLC,VOLCANIC KNOB,-118.903,37.388,10050
VRG,VIRGINIA LAKES RIDGE,-119.234,38.077,9300
VVL,VAN VLECK,-120.30606,38.94395,6700
WC3,WARD CREEK 3,-120.21868,39.13557,6750
WHW,WHITE WOLF,-119.6516,37.8595,7900
WTM,WET MEADOWS,-118.572,36.348,8950
WWC,WEST WOODCHUCK MEADOW,-118.918,37.03,9100
